arm,seed,split,lane,scenario_id,success,recorded_feasible_success,outcome,time_s,final_distance_m,final_speed_mps,path_m,straight_distance_m,energy_proxy_j,handovers,outage_s,dropped_bits,delay_proxy_mean_s,interference_mean_w,sinr_mean_db,sinr_p05_db,rss_mean_dbm,raw_return,path_to_endpoint_distance_ratio,service_deficit_fraction,longest_service_deficit_s,delay_above_one_s_fraction,max_delay_proxy_s,final_buffer_bits
reward_only,1105,longer_test,91,42013_0091,True,True,success,113.0,2.5511763095855713,1.5267974138259888,1794.8673095703125,1782.03173828125,26084.62890625,15,0.0,0.0,3.489751680432695,9.229113618704886e-07,-9.946861267089844,-18.580827713012695,-40.398231506347656,36.00303297676146,1.0072027736730673,0.4336283185840708,8.0,0.49557522123893805,44.3322639465332,0.0
reward_only,1105,longer_test,92,42013_0092,True,True,success,83.0,4.403547286987305,0.8976896405220032,1271.1832275390625,1260.940185546875,17989.884765625,10,1.0,0.0,3.0090801607233932,3.766487958363903e-07,-6.958962440490723,-13.11804485321045,-40.867469787597656,31.71254238858819,1.008123336943017,0.13253012048192772,3.0,0.060240963855421686,200.0,0.0
reward_only,1105,longer_test,93,42013_0093,True,True,success,71.0,5.046990871429443,1.6503124237060547,1113.71484375,1103.25927734375,15677.603515625,7,0.0,0.0,1.9011007056794536,1.01423154319491e-06,-9.603700637817383,-18.056119918823242,-39.591548919677734,29.02154891937971,1.0094769802719659,0.3380281690140845,5.0,0.28169014084507044,24.863100051879883,0.0
reward_only,1105,longer_test,94,42013_0094,True,True,success,66.0,3.6852893829345703,1.8859463930130005,1021.939697265625,1013.989990234375,14275.435546875,6,0.0,0.0,0.43701883710243483,3.732864292150032e-07,-5.7358012199401855,-12.624897003173828,-40.25757598876953,29.02066843211651,1.007840025155882,0.15151515151515152,3.0,0.06060606060606061,21.326494216918945,0.0
reward_only,1105,longer_test,95,42013_0095,True,True,success,69.0,8.920772552490234,1.6488698720932007,1107.789794921875,1093.4776611328125,15351.19921875,8,0.0,0.0,4.750132879809193,9.513421590340379e-07,-9.874700546264648,-18.615760803222656,-40.30434799194336,28.659463707357645,1.013088638476835,0.391304347826087,5.0,0.37681159420289856,116.19412231445312,291361.875
reward_only,1105,longer_test,96,42013_0096,True,True,success,78.0,4.890458583831787,1.33504319190979,1304.2520751953125,1293.752685546875,18276.00390625,6,0.0,0.0,1.5365375158591912,5.904587076143705e-07,-7.615102291107178,-18.54552459716797,-40.06410217285156,31.971176458522677,1.008115453413725,0.28205128205128205,5.0,0.23076923076923078,19.693578720092773,0.0
reward_only,1105,longer_test,97,42013_0097,True,True,success,74.0,5.1080641746521,0.981379508972168,1186.33837890625,1176.34375,16548.142578125,6,0.0,0.0,0.5959695093837138,5.409478182391345e-07,-6.760984897613525,-15.704022407531738,-39.702701568603516,30.5951916705817,1.0084963505831097,0.21621621621621623,5.0,0.1891891891891892,6.572946548461914,0.0
reward_only,1105,longer_test,98,42013_0098,True,True,success,96.0,2.9946439266204834,1.2848793268203735,1590.8270263671875,1566.179931640625,22731.935546875,7,1.0,0.0,4.456941900309175,3.251231034025655e-07,-7.650723934173584,-16.936634063720703,-42.72916793823242,35.48296610172838,1.015737077348925,0.1875,5.0,0.16666666666666666,200.0,0.0
reward_only,1105,longer_test,99,42013_0099,True,True,success,95.0,6.372401714324951,0.7258379459381104,1747.674072265625,1727.15478515625,24293.619140625,11,0.0,0.0,0.9254227573150082,4.188282129067183e-07,-7.009573936462402,-18.07135772705078,-41.326316833496094,38.01285156235099,1.011880398494521,0.23157894736842105,3.0,0.17894736842105263,13.218832015991211,0.0
reward_only,1105,longer_test,100,42013_0100,True,True,success,119.0,1.9917343854904175,1.7181223630905151,1798.118896484375,1785.165283203125,26577.3515625,9,0.0,0.0,2.7870562537064574,7.852009095582432e-07,-8.269038200378418,-19.539287567138672,-39.49580001831055,37.470844676718116,1.0072562543105292,0.25210084033613445,5.0,0.24369747899159663,64.44977569580078,0.0
