lane,scenario_id,success,recorded_feasible_success,outcome,time_s,final_distance_m,final_speed_mps,path_m,straight_distance_m,energy_proxy_j,handovers,outage_s,dropped_bits,delay_proxy_mean_s,interference_mean_w,sinr_mean_db,sinr_p05_db,rss_mean_dbm,raw_return
78,42003_0078,True,True,success,77.0,0.14812316000461578,0.40310946106910706,1779.195068359375,1779.047119140625,24968.36328125,6,3.0,0.0,19651.782155591074,6.292504508564889e-07,-13.764705657958984,-23.15781021118164,-43.88311767578125,39.118609849363565
79,42003_0079,True,True,success,62.0,0.15819597244262695,0.36871233582496643,1403.99609375,1403.837890625,19716.310546875,7,0.0,0.0,4.944861794671705,7.430326787111734e-07,-9.197126388549805,-23.16254997253418,-40.66128921508789,34.12521845847368
80,42003_0080,True,True,success,71.0,0.5863273739814758,0.0,1613.6365966796875,1613.05029296875,22708.68359375,7,0.0,0.0,3.964522010832041,8.709163387586262e-07,-10.051044464111328,-22.915613174438477,-40.83098602294922,36.8369006998837
81,42003_0081,True,True,success,60.0,0.2175784707069397,0.12023162841796875,1352.5780029296875,1352.360107421875,19001.818359375,6,0.0,0.0,1.293657622532919,7.659960715500347e-07,-7.388535499572754,-14.593130111694336,-38.766666412353516,33.66879511624575
82,42003_0082,True,True,success,52.0,0.7785097360610962,4.915124804938387e-07,1145.1580810546875,1144.379638671875,16124.984375,2,0.0,0.0,0.7172826113752447,7.472192150496189e-07,-6.4376220703125,-15.35946273803711,-38.17307662963867,31.286089353263378
83,42003_0083,True,True,success,57.0,0.24654169380664825,1.256016731262207,1284.2552490234375,1284.501708984375,18022.421875,8,0.0,0.0,4.403044910023087,1.0651319576824965e-06,-10.609297752380371,-20.349777221679688,-40.438594818115234,31.94347283616662
84,42003_0084,True,True,success,50.0,0.7952350378036499,0.0,1092.4188232421875,1091.6231689453125,15396.171875,2,0.0,0.0,0.18821471720933913,9.084021394301089e-07,-5.998028755187988,-13.61375904083252,-36.47999954223633,30.86284028366208
85,42003_0085,True,True,success,56.0,0.637196958065033,2.384185791015625e-07,1239.1741943359375,1238.537109375,17463.759765625,6,0.0,0.0,3.5684829017679607,9.650620112568374e-07,-9.824042320251465,-22.07048988342285,-40.08928680419922,31.955727387219667
86,42003_0086,True,True,success,54.0,0.0615142323076725,0.9274411201477051,1207.280029296875,1207.34130859375,16950.86328125,6,0.0,0.0,0.984382565167767,7.636277046087882e-07,-6.872243404388428,-16.490034103393555,-38.314815521240234,31.940983284264803
87,42003_0087,True,True,success,71.0,0.654208242893219,4.76837158203125e-07,1622.657470703125,1622.002685546875,22800.05859375,10,2.0,0.0,16229.169265799801,6.04591417881315e-07,-12.526436805725098,-24.94989585876465,-43.46479034423828,36.71872856095433
88,42003_0088,True,True,success,55.0,0.752623438835144,0.0,1220.8841552734375,1220.1319580078125,17182.1484375,5,0.0,0.0,1.2211178017610853,6.814323083662285e-07,-8.429096221923828,-17.45601463317871,-40.345455169677734,32.00639527849853
89,42003_0089,True,True,success,67.0,0.6507355570793152,0.0,1514.333984375,1513.6829833984375,21315.283203125,9,0.0,0.0,3.437933425655338,5.311357816182537e-07,-8.898883819580078,-20.151622772216797,-41.776119232177734,35.50879602134228
90,42003_0090,True,True,success,76.0,0.7987088561058044,0.0,1744.1275634765625,1743.32861328125,24514.20703125,7,0.0,0.0,5.177432523942308,8.643433455284522e-07,-10.586224555969238,-21.32761001586914,-41.342105865478516,37.98241265490651
91,42003_0091,True,True,success,64.0,0.7590703964233398,7.539457556049456e-07,1445.71923828125,1444.9599609375,20330.525390625,7,0.0,0.0,2.471348818973638,8.368123767255042e-07,-8.80400276184082,-16.609432220458984,-39.734375,34.378292275592685
92,42003_0092,True,False,success,48.0,0.0843336284160614,0.9726691246032715,1057.54833984375,1057.6328125,14853.779296875,4,4.0,0.0,46402.05195125844,7.086388216966574e-07,-19.4984188079834,-150.0,-46.625,29.510096982121468
93,42003_0093,True,True,success,65.0,0.7738710045814514,2.384185791015625e-07,1470.2987060546875,1469.525146484375,20676.423828125,6,0.0,0.0,0.9144375862983557,5.476859502533233e-07,-7.461221694946289,-18.24930191040039,-40.5076904296875,35.4590653963387
94,42003_0094,True,True,success,61.0,0.12596827745437622,0.47341176867485046,1379.607177734375,1379.482177734375,19372.580078125,5,1.0,0.0,9831.322600397723,5.95545406563584e-07,-10.996451377868652,-24.263652801513672,-42.557376861572266,33.85393916070461
